,detid,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage
0,4000011,2023-12-07T16:30:00.000+01:00,104,anyVehicle,43.56,carOrLightVehicle,6.0
1,4000012,2023-12-07T16:30:00.000+01:00,120,anyVehicle,48.6,carOrLightVehicle,5.0
2,4000021,2023-12-07T16:30:00.000+01:00,154,anyVehicle,42.84,carOrLightVehicle,9.0
3,4000022,2023-12-07T16:30:00.000+01:00,159,anyVehicle,41.4,carOrLightVehicle,8.0
4,4001011,2023-12-07T16:30:00.000+01:00,133,anyVehicle,52.2,carOrLightVehicle,8.0
5,4001012,2023-12-07T16:30:00.000+01:00,188,anyVehicle,52.2,carOrLightVehicle,11.0
6,4001013,2023-12-07T16:30:00.000+01:00,101,anyVehicle,44.64,carOrLightVehicle,8.0
7,4001014,2023-12-07T16:30:00.000+01:00,127,anyVehicle,0.0,carOrLightVehicle,20.0
8,4003011,2023-12-07T16:30:00.000+01:00,331,anyVehicle,40.68,carOrLightVehicle,19.0
9,4003012,2023-12-07T16:30:00.000+01:00,414,anyVehicle,44.64,carOrLightVehicle,19.0
10,4003021,2023-12-07T16:30:00.000+01:00,309,anyVehicle,29.52,carOrLightVehicle,26.0
11,4003022,2023-12-07T16:30:00.000+01:00,334,anyVehicle,31.32,carOrLightVehicle,26.0
12,4004011,2023-12-07T16:30:00.000+01:00,246,anyVehicle,18.36,carOrLightVehicle,29.0
13,4004012,2023-12-07T16:30:00.000+01:00,370,anyVehicle,21.6,carOrLightVehicle,37.0
14,4004021,2023-12-07T16:30:00.000+01:00,336,anyVehicle,26.28,carOrLightVehicle,30.0
15,4004022,2023-12-07T16:30:00.000+01:00,402,anyVehicle,30.24,carOrLightVehicle,29.0
16,4005011,2023-12-07T16:30:00.000+01:00,236,anyVehicle,32.76,carOrLightVehicle,26.0
17,4005012,2023-12-07T16:30:00.000+01:00,203,anyVehicle,19.8,carOrLightVehicle,43.0
18,4005013,2023-12-07T16:30:00.000+01:00,176,anyVehicle,15.12,carOrLightVehicle,56.0
19,4005014,2023-12-07T16:30:00.000+01:00,42,anyVehicle,43.56,carOrLightVehicle,2.0
20,4005015,2023-12-07T16:30:00.000+01:00,219,anyVehicle,47.16,carOrLightVehicle,15.0
21,4005016,2023-12-07T16:30:00.000+01:00,252,anyVehicle,51.48,carOrLightVehicle,16.0
22,4006011,2023-12-07T16:30:00.000+01:00,160,anyVehicle,19.8,carOrLightVehicle,36.0
23,4006012,2023-12-07T16:30:00.000+01:00,175,anyVehicle,18.36,carOrLightVehicle,35.0
24,4006021,2023-12-07T16:30:00.000+01:00,165,anyVehicle,28.8,carOrLightVehicle,19.0
25,4006022,2023-12-07T16:30:00.000+01:00,166,anyVehicle,24.48,carOrLightVehicle,25.0
